subject_id,motif_id,usage_percentage,frequency_starts,total_frames,source_path
Female 6-CBD-DN4-02-19-21_DLC,3,1230.0,91,1230,Open-Field-Test\results\Female 6-CBD-DN4-02-19-21_DLC\VAME\hmm-15
Female 6-CBD-DN4-02-19-21_DLC,4,1231.0,118,1231,Open-Field-Test\results\Female 6-CBD-DN4-02-19-21_DLC\VAME\hmm-15
Female 6-CBD-DN4-02-19-21_DLC,5,370.0,65,370,Open-Field-Test\results\Female 6-CBD-DN4-02-19-21_DLC\VAME\hmm-15
Female 6-CBD-DN4-02-19-21_DLC,6,0.0,0,0,Open-Field-Test\results\Female 6-CBD-DN4-02-19-21_DLC\VAME\hmm-15
Female 6-CBD-DN4-02-19-21_DLC,7,809.0,34,809,Open-Field-Test\results\Female 6-CBD-DN4-02-19-21_DLC\VAME\hmm-15
Female 6-CBD-DN4-02-19-21_DLC,8,1560.0,121,1560,Open-Field-Test\results\Female 6-CBD-DN4-02-19-21_DLC\VAME\hmm-15
Female 6-CBD-DN4-02-19-21_DLC,9,667.0,18,667,Open-Field-Test\results\Female 6-CBD-DN4-02-19-21_DLC\VAME\hmm-15
Female 6-CBD-DN4-02-19-21_DLC,10,1300.0,69,1300,Open-Field-Test\results\Female 6-CBD-DN4-02-19-21_DLC\VAME\hmm-15
Female 6-CBD-DN4-02-19-21_DLC,11,714.0,86,714,Open-Field-Test\results\Female 6-CBD-DN4-02-19-21_DLC\VAME\hmm-15
Female 6-CBD-DN4-02-19-21_DLC,12,1160.0,84,1160,Open-Field-Test\results\Female 6-CBD-DN4-02-19-21_DLC\VAME\hmm-15
Female 6-CBD-DN4-02-19-21_DLC,13,1705.0,75,1705,Open-Field-Test\results\Female 6-CBD-DN4-02-19-21_DLC\VAME\hmm-15
Female 6-CBD-DN4-02-19-21_DLC,14,2009.0,163,2009,Open-Field-Test\results\Female 6-CBD-DN4-02-19-21_DLC\VAME\hmm-15
Female7-CBD-DN5-02-19-21_DLC,0,2355.0,182,2355,Open-Field-Test\results\Female7-CBD-DN5-02-19-21_DLC\VAME\hmm-15
Female7-CBD-DN5-02-19-21_DLC,1,866.0,77,866,Open-Field-Test\results\Female7-CBD-DN5-02-19-21_DLC\VAME\hmm-15
Female7-CBD-DN5-02-19-21_DLC,2,2218.0,257,2218,Open-Field-Test\results\Female7-CBD-DN5-02-19-21_DLC\VAME\hmm-15
